subID,AttenCheck,Age,Gender,Nation,Race,Ses,low_PCF1,high_PCF1,low_PCF2,high_PCF2,low_PCF3,high_PCF3,low_PCF4,high_PCF4,low_PCF5,high_PCF5,low_PCF6,high_PCF6,low_PCF7,high_PCF7,low_PCF8,high_PCF8,low_PCM1,high_PCM1,low_PCM2,high_PCM2,low_PCM3,high_PCM3,low_PCM4,high_PCM4,low_PCM5,high_PCM5,low_PCM6,high_PCM6,low_PCM7,high_PCM7,low_PCM8,high_PCM8,low_tree1,high_tree1,low_tree2,high_tree2,low_tree3,high_tree3,low_tree4,high_tree4,low_tree5,high_tree5,low_tree6,high_tree6,low_tree7,high_tree7,low_tree8,high_tree8,low_tree9,high_tree9,low_tree10,high_tree10,low_tree11,high_tree11,low_tree12,high_tree12,low_tree13,high_tree13,low_tree14,high_tree14,low_tree15,high_tree15,low_tree16,high_tree16,PCF,PCF_low,PCF_high,PCM,PCM_low,PCM_high,tree,tree_low,tree_high,Face race,selection,RT_low_female1,RT_high_female1,RT_low_female2,RT_high_female2,RT_low_female3,RT_high_female3,RT_low_female4,RT_high_female4,RT_low_female5,RT_high_female5,RT_low_female6,RT_high_female6,RT_low_female7,RT_high_female7,RT_low_female8,RT_high_female8,RT_low_male1,RT_high_male1,RT_low_male2,RT_high_male2,RT_low_male3,RT_high_male3,RT_low_male4,RT_high_male4,RT_low_male5,RT_high_male5,RT_low_male6,RT_high_male6,RT_low_male7,RT_high_male7,RT_low_male8,RT_high_male8,RT_low_tree1,RT_high_tree1,RT_low_tree2,RT_high_tree2,RT_low_tree3,RT_high_tree3,RT_low_tree4,RT_high_tree4,RT_low_tree5,RT_high_tree5,RT_low_tree6,RT_high_tree6,RT_low_tree7,RT_high_tree7,RT_low_tree8,RT_high_tree8,RT_low_tree9,RT_high_tree9,RT_low_tree10,RT_high_tree10,RT_low_tree11,RT_high_tree11,RT_low_tree12,RT_high_tree12,RT_low_tree13,RT_high_tree13,RT_low_tree14,RT_high_tree14,RT_low_tree15,RT_high_tree15,RT_low_tree16,RT_high_tree16,RT_PCF,RT_PCF_low,RT_PCF_high,RT_PCM,RT_PCM_low,RT_PCM_high,RT_tree,RT_tree_low,RT_tree_high,Comments,workerID,Aggression,IRI,SDO,PCAT1,PCAT2,Nationalism,IC-hi,IC-vi,IC-hc,IC-vc
1,1,24,1,USA,White,7,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.5,0.375,0.625,0.6875,0.5,0.875,0.71875,0.8125,0.625,1,0,657,939,719,811,747,1625,612,351,379,1344,4241,725,1097,3012,599,569,801,449,745,625,479,623,2040,959,824,397,45249,617,712,690,300,451,887,435,737,1615,1188,1156,1551,1484,1072,346,1079,1355,1018,189,8778,910,2233,1146,1698,807,569,1960,530,485,1163,639,673,457,594,5169,578,1588,1131.375,1172,1151.6875,6393.75,601.375,3497.5625,1521.75,1233.8125,1377.7812,good,AWIUYK2925GQF,29,,54,38,20,34,28,29,29,31
2,1,21,1,white,White,7,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0.4375,0.375,0.5,0.625,0.625,0.625,0.5625,0.4375,0.6875,1,0,1085,1317,346,1054,987,648,1161,723,625,1295,1164,879,11674,1778,743,1054,979,776,825,828,1881,1652,720,839,840,668,1059,682,612,877,854,871,889,948,697,1301,1195,867,1219,1506,2021,1193,1074,1260,819,1133,2382,801,1492,716,1271,1194,946,1840,934,73080,874,1029,803,1743,742,943,785,760,2223.125,1093.5,1658.3125,971.25,899.125,935.1875,1133.9375,5644.625,3389.2812,GOOD,A2GOCM12UBDY9,25,,51,41,34,34,28,28,28,28
3,1,25,2,USA,White,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.125,0.25,0,0.0625,0,0.125,1,1,1,1,0,1178,1354,1321,1489,1793,1263,1264,1322,939,1328,1100,1265,1228,1107,1586,1269,1434,1359,2072,1438,1362,2126,1257,1575,1219,1097,1338,1379,1532,1270,1338,1207,1233,1611,1211,1160,1360,1058,1193,1184,1152,1316,1020,1259,1605,1104,1216,1066,1391,1241,1130,1196,1163,4499,3362,1175,1259,1531,952,1049,1093,1076,1238,1011,1301.125,1299.625,1300.375,1444,1431.375,1437.6875,1348.625,1408.5,1378.5625,Good,A2TJ7Z59VQOUMN,17,,51,30,24,37,18,20,19,19
4,1,25,1,American,White,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0.125,0.1875,0.0625,1,0,2121,1557,1138,3013,1746,4894,946,1637,1122,160342,1590,2369,29959,3518,2978,1213,50270,2113,2530,1344,1792,1302,1121,1377,1488,10124,4914,1559,1074,1610,2330,9800,2697,1399,2498,18624,1313,58539,2078,18714,38420,13469,63406,1630,1258,1793,18825,1831,2601,17705,1523,3396,2731,1617,1864,1538,2007,3393,1725,18167,3332,5258,1714,10352,5200,22317.875,13758.9375,8189.875,3653.625,5921.75,9249.5,11089.0625,10169.2812,Good,A35QQGY8A1FOJL,25,,44,52,32,44,26,27,29,27
5,1,24,2,USA,White,9,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0.6875,0.625,0.75,0.8125,0.75,0.875,0.65625,0.6875,0.625,1,0,1317,1620,865,2035,2940,2876,2000,2485,2714,2345,1040,1022,732,1015,2730,6543,496,892,1591,1901,1308,2551,2193,1228,2890,3093,2303,1686,1208,1349,1019,1499,1194,894,541,3755,1263,1074,1229,2434,867,1021,894,881,1638,897,1354,2318,603,1114,1401,2372,2114,1304,858,1197,1219,1071,1291,858,4663,1150,2285,1113,1792.25,2492.625,2142.4375,1626,1774.875,1700.4375,1463.375,1465.8125,1464.5938,GOOD,A2FU79UEZPM9CO,14,,44,35,27,40,25,23,26,25
6,1,21,1,WHITE,White,8,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.25,0.125,0.375,0.5625,0.625,0.5,0.5625,0.5625,0.5625,1,0,1378,299,722,19970,604,512,964,160,601,1587,1160,1552,6566,394,1604,375,380,482,1570,3967,943,731,1333,1097,358,572,686,1272,741,1536,735,744,800,457,992,1259,605,1247,671,8004,971,871,541,560,1344,2138,1498,882,893,945,909,1630,723,1560,706,730,567,687,937,1455,2313,1200,1677,615,1699.875,3106.125,2403,843.25,1300.125,1071.6875,1009.1875,1515,1262.0938,GOOD,A2OMMS60NRL9E2,26,,46,39,31,31,28,28,28,29
7,0,25,2,usa,White,8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0.9375,0.875,1,1,1,1,0.53125,0.375,0.6875,1,0,969,793,889,822,1194,1287,5857,1903,1217,1000,813,1146,1391,769,804,731,836,932,897,1411,849,1472,1170,921,976,1183,26778,853,2168,1071,1649,983,766,1477,1536,987,1296,957,8344,1560,1446,1617,824,1540,1498,747,769,778,13101,862,1306,799,1316,904,1427,2945,1447,1517,1474,1239,3163,863,792,783,1641.75,1056.375,1349.0625,4415.375,1103.25,2759.3125,2531.5625,1223.4375,1877.5,no,A13DYTJ1MAZAHU,22,,46,31,25,37,23,22,22,21
8,1,27,2,US CITIZEN,White,10,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0.6875,0.375,1,0.5,0,1,0.8125,0.625,1,1,0,2187,1668,1897,1259,6045,1159,6054,2514,2134,1752,1587,1035,2034,1201,1447,1551,1851,1682,20148,1153,1947,1371,1752,1093,2175,1654,1836,2170,1716,1757,2255,1325,2246,1271,3835,31311,1602,1452,2044,2282,1173,1170,1772,1160,1898,1389,2341,1323,2375,2475,1551,2321,2062,1098,1916,2398,1725,1460,1905,1392,1505,1206,2934,1511,2923.125,1517.375,2220.25,4210,1525.625,2867.8125,2055.25,3451.1875,2753.2188,IT WAS A NICE SURVEY,AD5GQ7ZQOWRHS,20,,49,38,27,36,23,23,23,23
9,1,26,2,American,American Indian or Alaska Native,10,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.375,0.125,0.09375,0.0625,0.125,1,0,1382,1948,2016,111427,2343,1535,875,4649,1321,1990,2274,3405,2108,2827,1591,2163,19579,10315,2566,996,2579,2008,2644,1893,2287,4327,2400,27827,2456,1998,2211,2304,1839,2857,1957,3539,1816,2511,1912,14008,1668,3588,2010,3856,5745,2283,4558,2268,2287,2544,2490,1589,2384,1401,2034,2366,8659,1996,3046,2336,3657,6503,1827,2053,1738.75,16243,8990.875,4590.25,6458.5,5524.375,2993.0625,3481.125,3237.0938,Good,A1KRXY4629AK58,5,,51,32,31,37,29,21,32,30
10,1,24,2,american,White,6,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.8125,0.75,0.875,0.6875,0.6875,0.6875,1,0,391,3681,585,45783,1000,222,1314,481,317,445,803,272,399,1634,2697,621,541,1747,6761,11043,446,375,2818,3104,5802,844,2528,825,769,2010,2176,1493,454,683,986,1667,504,430,644,424,2782,1085,553,565,1735,739,1061,1603,4911,10111,4122,441,2560,399,1988,407,639,281,5160,3066,728,518,1968,1035,938.25,6642.375,3790.3125,2730.125,2680.125,2705.125,1924.6875,1465.875,1695.2812,GOOD,A19U6F8CULVG2X,29,,50,38,32,33,27,31,28,31
