subID,AttenCheck,Age,Gender,Nation,Race,Ses,low_NFF1,high_NFF1,low_NFF2,high_NFF2,low_NFF3,high_NFF3,low_NFF4,high_NFF4,low_NFF5,high_NFF5,low_NFF6,high_NFF6,low_NFF7,high_NFF7,low_NFF8,high_NFF8,low_NFM1,high_NFM1,low_NFM2,high_NFM2,low_NFM3,high_NFM3,low_NFM4,high_NFM4,low_NFM5,high_NFM5,low_NFM6,high_NFM6,low_NFM7,high_NFM7,low_NFM8,high_NFM8,low_tree1,high_tree1,low_tree2,high_tree2,low_tree3,high_tree3,low_tree4,high_tree4,low_tree5,high_tree5,low_tree6,high_tree6,low_tree7,high_tree7,low_tree8,high_tree8,low_tree9,high_tree9,low_tree10,high_tree10,low_tree11,high_tree11,low_tree12,high_tree12,low_tree13,high_tree13,low_tree14,high_tree14,low_tree15,high_tree15,low_tree16,high_tree16,NFF,NFF_low,NFF_high,NFM,NFM_low,NFM_high,tree,tree_low,tree_high,Face race,selection,RT_low_female1,RT_high_female1,RT_low_female2,RT_high_female2,RT_low_female3,RT_high_female3,RT_low_female4,RT_high_female4,RT_low_female5,RT_high_female5,RT_low_female6,RT_high_female6,RT_low_female7,RT_high_female7,RT_low_female8,RT_high_female8,RT_low_male1,RT_high_male1,RT_low_male2,RT_high_male2,RT_low_male3,RT_high_male3,RT_low_male4,RT_high_male4,RT_low_male5,RT_high_male5,RT_low_male6,RT_high_male6,RT_low_male7,RT_high_male7,RT_low_male8,RT_high_male8,RT_low_tree1,RT_high_tree1,RT_low_tree2,RT_high_tree2,RT_low_tree3,RT_high_tree3,RT_low_tree4,RT_high_tree4,RT_low_tree5,RT_high_tree5,RT_low_tree6,RT_high_tree6,RT_low_tree7,RT_high_tree7,RT_low_tree8,RT_high_tree8,RT_low_tree9,RT_high_tree9,RT_low_tree10,RT_high_tree10,RT_low_tree11,RT_high_tree11,RT_low_tree12,RT_high_tree12,RT_low_tree13,RT_high_tree13,RT_low_tree14,RT_high_tree14,RT_low_tree15,RT_high_tree15,RT_low_tree16,RT_high_tree16,RT_NFF,RT_NFF_low,RT_NFF_high,RT_NFM,RT_NFM_low,RT_NFM_high,RT_tree,RT_tree_low,RT_tree_high,Comments,workerID,Aggression,IRI,SDO,PCAT1,PCAT2,Nationalism,IC-hi,IC-vi,IC-hc,IC-vc
1,0,27,2,white,White,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.875,1,1,1,1,2,0,922,182,1262,753,840,411,414,570,356,590,864,1693,370,478,297,638,482,474,279,250,147,1132,2730,232,259,1080,1024,1326,320,256,1971,159,207,245,278,307,1395,110,592,275,264,1126,299,966,240,1556,500,2686,122,968,513,1556,356,635,364,1206,421,567,1890,244,157,125,438,1355,665.625,664.375,665,901.5,613.625,757.5625,502.25,870.4375,686.3438,good,A3FY00HDM7UGAV,22,,50,33,25,33,29,29,30,30
2,1,26,2,USA,White,8,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0.75,0.625,0.875,0.875,0.875,0.875,0.53125,0.625,0.4375,2,0,3250,768,1247,975,608,689,602,1258,864,1447,1583,57153,1509,620,1756,4259,882,8388,1877,1411,40323,1010,563,17246,977,1705,867,864,812,1453,1384,16072,5609,1594,1440,1439,509,1272,840,1643,552,1517,709,1432,649,875,608,770,1775,1627,768,841,1852,798,860,577,1737,27859,2122,1483,585,1282,2172,2156,1427.375,8396.125,4911.75,5960.625,6018.625,5989.625,1424.1875,2947.8125,2186,good,A50RTULJZMHZ3,25,,48,35,30,35,26,27,27,26
3,0,27,2,USA,White,8,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.5625,0.5,0.625,0.0625,0.125,0,0.1875,0.1875,0.1875,2,0,613,1171,80284,1565,1898,6740,1497,2296,1212,2726,1176,2755,30688,1099,5070,1509,943,1240,1270,970,1684,746,1084,988,1589,1128,3122,690,10597,985,1486,1080,562,1034,1060,1332,27650,14620,1226,12084,1421,913,6272,610,1507,1059,1835,4234,6339,838,3044,1348,2213,804,1294,2099,1499,1097,940,931,1477,1039,1589,1043,15304.75,2482.625,8893.6875,2721.875,978.375,1850.125,3745.5,2817.8125,3281.6562,GOOD,A2AVMBZ1BC413H,29,,45,35,25,38,21,24,26,22
4,1,27,1,American,White,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.9375,0.875,1,0.9375,1,0.875,0.8125,0.8125,0.8125,2,0,1490,2377,4002,171,1359,627,888,883,1270,1019,8,1305,571,783,1202,901,1098,749,251,771,1245,933,566,384,513,2596,935,1622,810,920,212,740,1467,1891,2190,6067,4254,1471,1348,852,272,1400,1079,741,1391,586,3499,943,1041,1069,3416,2075,28,733,2601,1263,466,780,186,514,750,984,1724,220,1348.75,1008.25,1178.5,703.75,1089.375,896.5625,1607,1349.3125,1478.1562,No.,A1MUEKEQQVROE7,10,,41,32,24,34,19,17,23,17
5,1,23,1,American,White,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,0.5,0,1,1,1,1,2,0,1712,3835,2572,23995,6666,1845,1810,2181,5135,2664,1951,1767,2514,2804,2118,4684,1997,2141,4304,3303,2012,1877,1972,1950,2210,2781,2110,2715,1462,1542,4496,1373,4873,2810,1973,3570,1173,6266,991,11025,3534,2139,2259,2613,1069,1762,20440,1626,1832,4437,2414,1469,4109,1828,2549,4747,2146,1085,2066,1524,2227,3682,1628,1675,3059.75,5471.875,4265.8125,2570.375,2210.25,2390.3125,3455.1875,3266.125,3360.6562,good experiment,A2BDNSBNNZZ8FC,29,,43,37,31,29,30,27,28,30
6,1,25,2,american,White,9,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.75,0.75,0.8125,1,0.625,0.09375,0.0625,0.125,2,0,59446,2472,1753,5283,14111,1753,2044,2214,2282,2829,3166,1979,1917,7334,2467,2162,13343,4876,1572,1635,4462,2075,2822,43735,2780,10506,4907,1944,2731,3100,2733,3733,4043,1799,4266,29376,2384,1865,3117,2066,4283,1511,2929,2514,3270,1613,15394,1415,16226,1563,3304,2876,1683,3367,1745,11460,1665,1574,1602,2473,2006,2322,1484,1998,10898.25,3253.25,7075.75,4418.75,8950.5,6684.625,4337.5625,4362,4349.7812,good,A3DIVR9CJM0EWD,24,,44,36,29,41,22,22,27,25
7,1,23,1,american,White,8,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,0.625,0.25,1,1,1,1,2,0,1492,1233,1374,1408,7713,2343,12419,1153,1482,2090,1752,2790,2468,2714,2369,1254,3426,3792,1600,1839,5514,1261,4249,2288,1389,2913,1497,1336,2463,13636,2178,1259,1478,1006,1349,962,15647,1181,10845,1318,1241,1665,3084,1663,1131,6933,3345,1056,1316,1072,1427,1152,1089,1018,1119,1788,1595,1297,1173,1282,975,1088,7925,1084,3883.625,1873.125,2878.375,2789.5,3540.5,3165,3421.1875,1597.8125,2509.5,Good experiment,A1R033FHHMVPXN,16,,47,34,21,38,20,22,20,19
8,1,25,1,AMERICAN,White,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,AllLaunch,119,643,217,485,157,303,116,129,414,473,475,21,733,250,202,110,168,102,260,300,249,677,165,72,209,297,545,362,681,373,200,306,290,371,212,246,196,148,186,385,458,202,827,126,797,158,106,197,284,171,89,198,1516,168,167,745,170,339,94,346,131,117,706,27,304.125,301.75,302.9375,309.625,311.125,310.375,389.3125,246.5,317.9062,GOOD,A2OPQ3TR1Y0ZP4,15,,45,28,25,43,10,13,14,14
9,1,25,1,USA,White,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,AllLaunch,298,751,1079,203,190,129,281,223,302,151,174,223,124,174,152,231,216,657,183,251,222,229,116,731,2341,57,78,171,5,622,102,128,31,175,286,173,747,222,10,74,150,110,137,197,328,148,196,500,252,49,106,837,161,219,191,233,746,364,355,109,262,97,141,225,325,260.625,292.8125,407.875,355.75,381.8125,256.1875,233.25,244.7188,GOOD,A2QUSCZS3RXGXE,16,,48,32,23,37,24,24,25,25
10,1,30,1,USA,White,8,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0.5625,0.75,0.375,0.6875,0.75,0.625,0.53125,0.4375,0.625,2,0,748,362,1112,721,724,708,558,795,697,1680,1178,1179,625,1040,563,748,19177,572,1114,1057,640,756,1869,643,739,1062,252137,1035,1073,1869,392,3019,583,835,1024,1932,2555,619,846,504,811,774,777,767,1378,785,618,632,755,809,1191,537,153,585,714,424,684,507,1094,1071,15569,1040,1009,1034,775.625,904.125,839.875,34642.625,1251.625,17947.125,1860.0625,803.4375,1331.75,GOOD,AC79A2DVQ3QUJ,17,,43,28,23,40,25,19,22,19
