subID,AttenCheck,Age,Gender,Nation,Race,Ses,low_PFF1,high_PFF1,low_PFF2,high_PFF2,low_PFF3,high_PFF3,low_PFF4,high_PFF4,low_PFF5,high_PFF5,low_PFF6,high_PFF6,low_PFF7,high_PFF7,low_PFF8,high_PFF8,low_PFM1,high_PFM1,low_PFM2,high_PFM2,low_PFM3,high_PFM3,low_PFM4,high_PFM4,low_PFM5,high_PFM5,low_PFM6,high_PFM6,low_PFM7,high_PFM7,low_PFM8,high_PFM8,low_tree1,high_tree1,low_tree2,high_tree2,low_tree3,high_tree3,low_tree4,high_tree4,low_tree5,high_tree5,low_tree6,high_tree6,low_tree7,high_tree7,low_tree8,high_tree8,low_tree9,high_tree9,low_tree10,high_tree10,low_tree11,high_tree11,low_tree12,high_tree12,low_tree13,high_tree13,low_tree14,high_tree14,low_tree15,high_tree15,low_tree16,high_tree16,PFF,PFF_low,PFF_high,PFM,PFM_low,PFM_high,tree,tree_low,tree_high,Face race,selection,RT_low_female1,RT_high_female1,RT_low_female2,RT_high_female2,RT_low_female3,RT_high_female3,RT_low_female4,RT_high_female4,RT_low_female5,RT_high_female5,RT_low_female6,RT_high_female6,RT_low_female7,RT_high_female7,RT_low_female8,RT_high_female8,RT_low_male1,RT_high_male1,RT_low_male2,RT_high_male2,RT_low_male3,RT_high_male3,RT_low_male4,RT_high_male4,RT_low_male5,RT_high_male5,RT_low_male6,RT_high_male6,RT_low_male7,RT_high_male7,RT_low_male8,RT_high_male8,RT_low_tree1,RT_high_tree1,RT_low_tree2,RT_high_tree2,RT_low_tree3,RT_high_tree3,RT_low_tree4,RT_high_tree4,RT_low_tree5,RT_high_tree5,RT_low_tree6,RT_high_tree6,RT_low_tree7,RT_high_tree7,RT_low_tree8,RT_high_tree8,RT_low_tree9,RT_high_tree9,RT_low_tree10,RT_high_tree10,RT_low_tree11,RT_high_tree11,RT_low_tree12,RT_high_tree12,RT_low_tree13,RT_high_tree13,RT_low_tree14,RT_high_tree14,RT_low_tree15,RT_high_tree15,RT_low_tree16,RT_high_tree16,RT_PFF,RT_PFF_low,RT_PFF_high,RT_PFM,RT_PFM_low,RT_PFM_high,RT_tree,RT_tree_low,RT_tree_high,Comments,workerID,Aggression,IRI,SDO,PCAT1,PCAT2,Nationalism,IC-hi,IC-vi,IC-hc,IC-vc
1,0,25,2,christian,White,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,1,0.875,0.875,1,0.75,0.0625,0.125,0,2,0,1137,1239,1237,8099,1603,995,1402,2066,953,1322,1647,1560,1115,1759,1271,2736,1417,912,1079,1818,1330,16820,927,6360,1177,938,1246,1542,1494,1535,1563,3577,1099,1891,1489,1277,929,1105,1016,1018,13875,1708,1264,1602,1541,1882,1460,1316,982,1697,1941,1144,1553,927,1819,1056,1074,2150,944,1055,1161,1442,1618,2402,1295.625,2472,1883.8125,1279.125,4187.75,2733.4375,2110.3125,1479.5,1794.9062,very nice survey,A1QBPQAYVYU8BN,26,,50,36,30,36,26,26,28,26
2,1,32,1,CHRISTIAN,White,6,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.5625,0.5,0.625,0.875,1,0.75,0.90625,0.875,0.9375,2,0,928,912,856,850,1626,687,3072,14406,824,4447,745,999,775,703,1585,937,769,2569,1144,754,2672,1207,913,770,643,9199,817,687,1357,612,849,1057,798,783,854,783,795,1028,960,965,860,790,872,1646,678,820,1011,818,1113,792,899,1214,1101,1012,1236,907,853,804,951,1042,885,937,756,748,1301.375,2992.625,2147,1145.5,2106.875,1626.1875,913.875,943.0625,928.4688,good,A3GDJVV9O4TE5P,25,,53,21,13,46,8,9,14,10
3,1,24,2,American,White,6,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0.6875,1,0.375,0.5,0.25,0.75,0.71875,0.875,0.5625,2,0,11106,857,938,1521,1313,1523,969,970,912,936,863,944,1390,1066,1037,1139,1236,2497,16487,3812,1400,1169,4082,967,972,844,13832,2226,3099,799,1601,3929,1035,1052,896,862,881,966,1924,954,981,2954,1217,769,793,961,1074,937,1212,1079,748,805,1170,1531,15099,32666,1584,967,75976,1418,1433,964,1146,879,2316,1119.5,1717.75,5338.625,2030.375,3684.5,6698.0625,3110.25,4904.1562,good,A3CKUP24HJFG8X,28,,49,36,32,33,29,22,25,28
4,1,26,2,American,White,8,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.625,0.25,1,0.875,0.75,1,0.84375,0.75,0.9375,2,0,1989,1781,7374,2058,2872,2489,2016,3037,1755,1474,2563,6966,2250,1775,2884,2279,2178,1881,6252,2621,2691,1749,8577,1305,2651,1510,3120,1693,2123,1733,2818,1525,2783,1373,1877,1120,2480,3211,1841,9439,1469,1336,4836,1434,2215,2732,2652,1085,4062,1801,2195,2001,17114,1860,2542,5180,2459,5064,2696,2369,2288,1679,3271,2142,2962.875,2732.375,2847.625,3801.25,1752.125,2776.6875,3548.75,2739.125,3143.9375,None,A2YDLBFJ09KEJ0,17,,48,48,38,35,28,32,32,32
5,1,25,2,usa,White,9,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0.9375,1,0.875,0.9375,0.875,1,0.53125,0.5625,0.5,2,0,2849,6759,4005,40535,2690,2526,3145,2858,2434,2499,2763,2774,3379,2896,2040,2166,9545,2251,2959,2186,1317,6983,2130,2083,3081,4626,4528,3128,2751,18536,5710,8516,2735,3163,3592,7178,3344,2775,2561,1757,4927,2589,6026,33154,6242,2881,3424,8737,2153,141942,2400,2182,3418,3905,2778,2393,9736,12081,2048,2312,4054,3750,2573,3420,2913.125,7876.625,5394.875,4002.625,6038.625,5020.625,3875.6875,14638.6875,9257.1875,good,A2VPP94996IZ0R,27,,43,30,24,33,23,26,21,23
6,1,32,1,usa,White,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,AllLaunch,997,2592,742,853,925,19145,805,844,1364,1381,1086,1125,883,862,854,907,834,774,716,1363,8741,893,812,1273,774,2655,834,1055,934,834,1172,841,3175,2027,897,784,817,2873,1035,842,850,302434,814,862,821,2983,864,912,816,824,1103,1191,1574,3686,1994,855,5194,674,875,28495,831,883,1495,714,957,3463.625,2210.3125,1852.125,1211,1531.5625,1447.1875,21939.9375,11693.5625,good,A32IVK1TYTG2H5,24,,52,25,14,35,3,3,8,12
7,1,25,2,American,White,8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.1875,0.125,0.25,0.1875,0.125,0.25,0.3125,0.1875,0.4375,2,0,4724,9332,11434,5554,4853,2154,7602,7708,11381,3309,6883,1516,7866,7798,30412,2242,9154,10320,1193,4143,6901,4804,2312,6008,13893,1479,11617,15162,2509,2657,3769,3143,4474,15598,7765,2767,3114,21904,7105,2048,3272,8560,11581,26087,3184,10478,8840,3253,5928,7447,3170,1561,5605,6927,17801,19037,2767,3567,14541,1857,10760,7203,4808,7763,10644.375,4951.625,7798,6418.5,5964.5,6191.5,7169.6875,9128.5625,8149.125,i like the survey very much,A1JPYP6P6W7ISV,25,,44,35,26,39,28,25,27,26
8,1,33,1,american,White,5,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,0.5,0.375,0.3125,0.25,0.375,0.03125,0,0.0625,2,0,7226,1253,7215,1231,896,2759,2140,1066,1144,1312,11046,4002,1162,363,1223,1119,6836,1772,2236,2623,1328,921,884,1131,1685,760,825,20398,4476,557,402,3543,286,960,874,796,1314,898,898,1800,1374,979,1174,2403,7980,1134,1052,2403,1928,1426,4955,863,1028,1480,737,838,907,1168,1543,819,10219,364,1209,1292,4006.5,1638.125,2822.3125,2334,3963.125,3148.5625,2342.375,1226.4375,1784.4062,,APJ1U6D2WTNI0,16,,39,29,18,32,28,28,31,20
9,0,32,2,USA,White,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NonLaunch,996,752,975,1023,691,4298,827,3978,583,843,4804,737,308,1429,920,1338,632,843,730,4842,1506,1731,640,720,915,500,898,754,849,689,1473,842,1602,930,1218,900,818,782,890,1026,1523,840,909,809,1033,688,1050,962,1634,784,1084,3570,704,858,1085,706,2224,1378,810,1396,667,1000,2374,896,1263,1799.75,1531.375,955.375,1365.125,1160.25,1226.5625,1095.3125,1160.9375,GOOD,A2QSJRBVRPVMC3,22,,49,32,35,39,20,20,21,21
10,1,30,1,american,White,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.125,0.25,0,0.125,0.25,0,0.0625,0.0625,0.0625,2,0,2094,1024,2499,2049,2328,2550,423,9058,4560,4663,281,2016,1042,370,51101,441,973,1207,3028,527,473,1665,144059,2003,1053,1164,1974,890,814,1109,3203,2501,5282,3567,1883,2982,6415,1888,457,401,2664,4894,5829,4041,1056,5499,551,1095,249,284,623,3521,2981,1117,1902,3996,4371,588,3073,3230,1388,748,1589,8442,8041,2771.375,5406.1875,19447.125,1383.25,10415.1875,2519.5625,2893.3125,2706.4375,,AHCTZ4DHZHU1W,16,,49,33,23,30,15,23,30,24
