subj_idx,race,outSold,rt,response,stim,stimulus,type,sold,subj_race,com_stim
1,Asian,2,10487,0,tree,tree,Neutral,low,same,Tree
1,Asian,9,7559,0,male,face,Neutral,high,same,Neutral
1,Asian,4,2918,0,tree,tree,Neutral,low,same,Tree
1,Asian,2,3144,0,tree,tree,Neutral,low,same,Tree
1,Asian,9,3106,0,male,face,Neutral,high,same,Neutral
1,Asian,1,1828,0,male,face,Neutral,low,same,Neutral
1,Asian,5,2010,1,female,face,Neutral,low,same,Neutral
1,Asian,7,2824,1,female,face,Neutral,high,same,Neutral
1,Asian,1,1966,1,tree,tree,Neutral,low,same,Tree
1,Asian,10,2273,0,male,face,Neutral,high,same,Neutral
1,Asian,6,2980,0,tree,tree,Neutral,high,same,Tree
1,Asian,1,2395,0,male,face,Neutral,low,same,Neutral
1,Asian,5,4098,1,tree,tree,Neutral,low,same,Tree
1,Asian,2,3947,0,male,face,Neutral,low,same,Neutral
1,Asian,1,4113,1,male,face,Neutral,low,same,Neutral
1,Asian,6,3212,0,female,face,Neutral,high,same,Neutral
1,Asian,4,1360,0,tree,tree,Neutral,low,same,Tree
1,Asian,10,2230,1,female,face,Neutral,high,same,Neutral
1,Asian,6,3604,0,female,face,Neutral,high,same,Neutral
1,Asian,9,1302,1,male,face,Neutral,high,same,Neutral
1,Asian,4,1174,0,tree,tree,Neutral,low,same,Tree
1,Asian,2,2079,1,female,face,Neutral,low,same,Neutral
1,Asian,9,3474,0,tree,tree,Neutral,high,same,Tree
1,Asian,10,2786,1,tree,tree,Neutral,high,same,Tree
1,Asian,9,1902,0,tree,tree,Neutral,high,same,Tree
1,Asian,10,1333,1,tree,tree,Neutral,high,same,Tree
1,Asian,9,1389,1,tree,tree,Neutral,high,same,Tree
1,Asian,4,1157,1,female,face,Neutral,low,same,Neutral
1,Asian,2,2801,0,tree,tree,Neutral,low,same,Tree
1,Asian,6,1515,1,male,face,Neutral,high,same,Neutral
1,Asian,9,955,1,tree,tree,Neutral,high,same,Tree
1,Asian,3,917,1,male,face,Neutral,low,same,Neutral
1,Asian,3,1878,0,tree,tree,Neutral,low,same,Tree
1,Asian,9,940,0,tree,tree,Neutral,high,same,Tree
1,Asian,10,2163,1,female,face,Neutral,high,same,Neutral
1,Asian,9,3522,0,tree,tree,Neutral,high,same,Tree
1,Asian,10,1184,1,male,face,Neutral,high,same,Neutral
1,Asian,4,1225,1,female,face,Neutral,low,same,Neutral
1,Asian,2,1330,0,tree,tree,Neutral,low,same,Tree
1,Asian,8,1287,1,female,face,Neutral,high,same,Neutral
1,Asian,3,741,1,female,face,Neutral,low,same,Neutral
1,Asian,10,2073,0,tree,tree,Neutral,high,same,Tree
1,Asian,1,721,0,tree,tree,Neutral,low,same,Tree
1,Asian,6,1426,1,tree,tree,Neutral,high,same,Tree
1,Asian,10,1521,1,male,face,Neutral,high,same,Neutral
1,Asian,3,1276,1,tree,tree,Neutral,low,same,Tree
1,Asian,10,1073,1,male,face,Neutral,high,same,Neutral
1,Asian,1,957,1,female,face,Neutral,low,same,Neutral
1,Asian,9,1166,1,tree,tree,Neutral,high,same,Tree
1,Asian,3,1584,1,tree,tree,Neutral,low,same,Tree
1,Asian,8,1368,1,female,face,Neutral,high,same,Neutral
1,Asian,5,4917,0,tree,tree,Neutral,low,same,Tree
1,Asian,4,3044,0,tree,tree,Neutral,low,same,Tree
1,Asian,7,1302,1,tree,tree,Neutral,high,same,Tree
1,Asian,1,1271,1,male,face,Neutral,low,same,Neutral
1,Asian,6,1208,1,tree,tree,Neutral,high,same,Tree
1,Asian,7,1912,0,tree,tree,Neutral,high,same,Tree
1,Asian,4,2167,1,male,face,Neutral,low,same,Neutral
1,Asian,9,1360,1,female,face,Neutral,high,same,Neutral
1,Asian,7,1700,0,tree,tree,Neutral,high,same,Tree
1,Asian,5,1067,0,tree,tree,Neutral,low,same,Tree
1,Asian,2,1451,1,male,face,Neutral,low,same,Neutral
1,Asian,3,1601,1,female,face,Neutral,low,same,Neutral
1,Asian,3,1161,1,female,face,Neutral,low,same,Neutral
2,Asian,3,26828,1,male,face,Neutral,low,same,Neutral
2,Asian,10,7121,1,female,face,Neutral,high,same,Neutral
2,Asian,5,5019,0,tree,tree,Neutral,low,same,Tree
2,Asian,10,4166,1,female,face,Neutral,high,same,Neutral
2,Asian,8,3334,0,tree,tree,Neutral,high,same,Tree
2,Asian,7,5331,0,tree,tree,Neutral,high,same,Tree
2,Asian,4,4952,0,tree,tree,Neutral,low,same,Tree
2,Asian,5,3018,0,tree,tree,Neutral,low,same,Tree
2,Asian,1,3509,1,male,face,Neutral,low,same,Neutral
2,Asian,9,10359,1,male,face,Neutral,high,same,Neutral
2,Asian,3,4151,0,tree,tree,Neutral,low,same,Tree
2,Asian,1,3719,1,female,face,Neutral,low,same,Neutral
2,Asian,4,8870,1,female,face,Neutral,low,same,Neutral
2,Asian,1,2210,0,tree,tree,Neutral,low,same,Tree
2,Asian,3,2215,1,male,face,Neutral,low,same,Neutral
2,Asian,5,1780,0,tree,tree,Neutral,low,same,Tree
2,Asian,1,1475,0,tree,tree,Neutral,low,same,Tree
2,Asian,7,4869,0,tree,tree,Neutral,high,same,Tree
2,Asian,1,1843,1,male,face,Neutral,low,same,Neutral
2,Asian,10,1659,0,tree,tree,Neutral,high,same,Tree
2,Asian,1,2429,1,female,face,Neutral,low,same,Neutral
2,Asian,2,3180,1,female,face,Neutral,low,same,Neutral
2,Asian,2,1966,0,tree,tree,Neutral,low,same,Tree
2,Asian,7,1766,1,female,face,Neutral,high,same,Neutral
2,Asian,6,1535,0,tree,tree,Neutral,high,same,Tree
2,Asian,8,1620,0,tree,tree,Neutral,high,same,Tree
2,Asian,6,1216,0,tree,tree,Neutral,high,same,Tree
2,Asian,6,767,0,male,face,Neutral,high,same,Neutral
2,Asian,2,947,0,tree,tree,Neutral,low,same,Tree
2,Asian,7,766,0,tree,tree,Neutral,high,same,Tree
2,Asian,7,879,0,tree,tree,Neutral,high,same,Tree
2,Asian,7,1719,0,tree,tree,Neutral,high,same,Tree
2,Asian,1,3450,0,tree,tree,Neutral,low,same,Tree
2,Asian,9,2378,1,male,face,Neutral,high,same,Neutral
2,Asian,6,1699,1,male,face,Neutral,high,same,Neutral
2,Asian,6,1649,0,tree,tree,Neutral,high,same,Tree
2,Asian,8,1059,0,tree,tree,Neutral,high,same,Tree
2,Asian,2,829,0,tree,tree,Neutral,low,same,Tree
2,Asian,2,2029,0,tree,tree,Neutral,low,same,Tree
2,Asian,2,1472,1,male,face,Neutral,low,same,Neutral
2,Asian,6,1073,0,tree,tree,Neutral,high,same,Tree
2,Asian,7,1369,1,female,face,Neutral,high,same,Neutral
