"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","stimulus","response","question_order"
"true","false","[]","[]","[]","preload","0","847","0.0-0.0","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","","","",""
"true","","","","","fullscreen","1","7885","0.0-1.0","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","","","",""
"","","","","","html-button-response","2","39404","0.0-2.0","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","31517","<p ><strong>Welcome to the experiment!</strong></p><p ><strong>In the first task, please imagine:</strong></p><p>Your country is involved in a military conflict with another country.</p><p>You are the commander of your army and must make decisions in the conflict.</p><p>Specifically, as the military commander, you must decide whether to launch a missile to strike enemy.</p><p>You will face a series of scenarios. Please read each scenario carefully and make a decision.</p><p>The task will take around 10 minutes to complete.</p><p><strong>Please pay your attention during the experiment.</strong></p>","0",""
"","","","","","html-keyboard-response","3","40412","0.0-3.0-0.0","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","4","61312","0.0-3.0-1.0","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","20896","<p>As the military commander, you could choose to launch a missile to kill <strong>5 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/NCM2.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","5","62322","0.0-3.0-0.1","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","6","67902","0.0-3.0-1.1","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","5577","<p>As the military commander, you could choose to launch a missile to kill <strong>10 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/NCF7.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","7","68908","0.0-3.0-0.2","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","8","85394","0.0-3.0-1.2","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","16483","<p>As the military commander, you could choose to launch a missile to kill <strong>3 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/1.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","9","86396","0.0-3.0-0.3","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","10","94536","0.0-3.0-1.3","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","8138","<p>As the military commander, you could choose to launch a missile to kill <strong>3 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/3.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","11","95538","0.0-3.0-0.4","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","12","99500","0.0-3.0-1.4","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","3958","<p>As the military commander, you could choose to launch a missile to kill <strong>10 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/15.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","13","100508","0.0-3.0-0.5","6","1","2023-05-31 09:47:49","c5e7288ef5abdde20c6cfc36967cae27","173.170.200.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50","WebKit","Edge","113.0.1774.50","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
