"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","stimulus","response","question_order"
"true","false","[]","[]","[]","preload","0","403","0.0-0.0","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","","","",""
"true","","","","","fullscreen","1","3992","0.0-1.0","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","","","",""
"","","","","","html-button-response","2","12222","0.0-2.0","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","8229","<p ><strong>Welcome to the experiment!</strong></p><p ><strong>In the first task, please imagine:</strong></p><p>Your country is involved in a military conflict with another country.</p><p>You are the commander of your army and must make decisions in the conflict.</p><p>Specifically, as the military commander, you must decide whether to launch a missile to strike enemy.</p><p>You will face a series of scenarios. Please read each scenario carefully and make a decision.</p><p>The task will take around 10 minutes to complete.</p><p><strong>Please pay your attention during the experiment.</strong></p>","0",""
"","","","","","html-keyboard-response","3","13238","0.0-3.0-0.0","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","4","19465","0.0-3.0-1.0","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","6225","<p>As the military commander, you could choose to launch a missile to kill <strong>2 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/5.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","5","20476","0.0-3.0-0.1","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","6","30888","0.0-3.0-1.1","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","10410","<p>As the military commander, you could choose to launch a missile to kill <strong>5 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/NCF3.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
"","","","","","html-keyboard-response","7","31897","0.0-3.0-0.2","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","8","38811","0.0-3.0-1.2","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","6913","<p>As the military commander, you could choose to launch a missile to kill <strong>5 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/14.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","9","39818","0.0-3.0-0.3","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","10","45745","0.0-3.0-1.3","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","5925","<p>As the military commander, you could choose to launch a missile to kill <strong>10 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/NCM3.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","11","46750","0.0-3.0-0.4","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","12","48986","0.0-3.0-1.4","94","1","2023-05-30 04:36:10","c5e7288ef5abdde20c6cfc36967cae27","108.196.136.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","Firefox","113.0","Windows","10.0","2235","<p>As the military commander, you could choose to launch a missile to kill <strong>2 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/NCF8.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
