"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","stimulus","response","question_order"
"true","false","[]","[]","[]","preload","0","534","0.0-0.0","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","","","",""
"true","","","","","fullscreen","1","2488","0.0-1.0","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","","","",""
"","","","","","html-button-response","2","136589","0.0-2.0","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","134090","<p ><strong>Welcome to the experiment!</strong></p><p ><strong>In the first task, please imagine:</strong></p><p>Your country is involved in a military conflict with another country.</p><p>You are the commander of your army and must make decisions in the conflict.</p><p>Specifically, as the military commander, you must decide whether to launch a missile to strike enemy.</p><p>You will face a series of scenarios. Please read each scenario carefully and make a decision.</p><p>The task will take around 10 minutes to complete.</p><p><strong>Please pay your attention during the experiment.</strong></p>","0",""
"","","","","","html-keyboard-response","3","137602","0.0-3.0-0.0","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","4","143425","0.0-3.0-1.0","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","5798","<p>As the military commander, you could choose to launch a missile to kill <strong>8 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/3.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","5","144433","0.0-3.0-0.1","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","6","147907","0.0-3.0-1.1","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","3456","<p>As the military commander, you could choose to launch a missile to kill <strong>10 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/PCF3.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
"","","","","","html-keyboard-response","7","148922","0.0-3.0-0.2","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","8","150742","0.0-3.0-1.2","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","1801","<p>As the military commander, you could choose to launch a missile to kill <strong>4 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/4.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","9","151752","0.0-3.0-0.3","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","10","153345","0.0-3.0-1.3","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","1577","<p>As the military commander, you could choose to launch a missile to kill <strong>2 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy civilian</strong> nearby.</p> <p>The photo of the <strong>enemy civilian</strong> is shown below.</p> <p></p> <img src='stimuli/faces/PCM5.jpg', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","1",""
"","","","","","html-keyboard-response","11","154362","0.0-3.0-0.4","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","12","155905","0.0-3.0-1.4","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","1518","<p>As the military commander, you could choose to launch a missile to kill <strong>8 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/10.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","13","156920","0.0-3.0-0.5","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","14","158939","0.0-3.0-1.5","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","2005","<p>As the military commander, you could choose to launch a missile to kill <strong>6 enemy soldiers</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/15.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
"","","","","","html-keyboard-response","15","159952","0.0-3.0-0.6","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","16","170847","0.0-3.0-1.6","14","1","2023-06-27 16:07:23","846205d480aaa49f22c83d5c8cececc8","24.211.43.79","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","WebKit","Chrome","114.0.0.0","AndroidOS","10","10877","<p>As the military commander, you could choose to launch a missile to kill <strong>1 enemy soldier</strong> , but would accidentally kill <strong>1 enemy tree</strong> nearby.</p> <p>The photo of the <strong>enemy tree</strong> is shown below.</p> <p></p> <img src='stimuli/tree/9.png', style='max-width: 30%;'> </img> <p><strong>Would you launch the weapon?</strong></p>","0",""
