subj_idx,outSold,stim,stimulus,type,response,rt,gender,race
15,0,female,face,neutral,0,2440,female,Asian
15,0,female,face,neutral,0,2142,female,Asian
15,0,female,face,neutral,0,2435,female,Asian
15,0,female,face,neutral,0,2341,female,Asian
15,0,male,face,neutral,0,2037,female,Asian
15,0,male,face,neutral,0,1842,female,Asian
15,0,male,face,neutral,0,1943,female,Asian
15,0,male,face,neutral,0,1943,female,Asian
15,0,female,face,pain,0,2242,female,Asian
15,0,female,face,pain,0,1941,female,Asian
15,0,female,face,pain,0,2242,female,Asian
15,0,female,face,pain,0,2142,female,Asian
15,0,male,face,pain,0,1836,female,Asian
15,0,male,face,pain,0,2442,female,Asian
15,0,male,face,pain,0,2342,female,Asian
15,0,male,face,pain,0,1942,female,Asian
15,1,female,face,neutral,0,2043,female,Asian
15,1,female,face,neutral,0,2242,female,Asian
15,1,female,face,neutral,0,1842,female,Asian
15,1,female,face,neutral,0,2142,female,Asian
15,1,male,face,neutral,0,2258,female,Asian
15,1,male,face,neutral,0,2042,female,Asian
15,1,male,face,neutral,0,2240,female,Asian
15,1,male,face,neutral,0,2239,female,Asian
15,1,female,face,pain,0,1942,female,Asian
15,1,female,face,pain,0,2041,female,Asian
15,1,female,face,pain,0,2441,female,Asian
15,1,female,face,pain,0,2342,female,Asian
15,1,male,face,pain,0,2140,female,Asian
15,1,male,face,pain,0,2241,female,Asian
15,1,male,face,pain,0,2043,female,Asian
15,1,male,face,pain,0,2242,female,Asian
15,0,tree,tree,tree,1,2241,female,Asian
15,0,tree,tree,tree,0,2340,female,Asian
15,0,tree,tree,tree,0,2141,female,Asian
15,0,tree,tree,tree,0,2442,female,Asian
15,0,tree,tree,tree,0,2442,female,Asian
15,0,tree,tree,tree,0,2141,female,Asian
15,0,tree,tree,tree,0,2142,female,Asian
15,0,tree,tree,tree,0,2441,female,Asian
15,1,tree,tree,tree,1,1937,female,Asian
15,1,tree,tree,tree,1,2037,female,Asian
15,1,tree,tree,tree,1,1842,female,Asian
15,1,tree,tree,tree,1,2242,female,Asian
15,1,tree,tree,tree,1,2242,female,Asian
15,1,tree,tree,tree,1,2343,female,Asian
15,1,tree,tree,tree,0,1941,female,Asian
15,1,tree,tree,tree,0,1942,female,Asian
