stimulus,response,rt
fixation,99,1.1
杀死9士兵,99,1
fixation,99,1.1
41,99,1
fixation,99,0.8
41,0,1.78904299996793
fixation,99,1.2
杀死7士兵,99,1
fixation,99,1.4
30,99,1
fixation,99,0.8
30,0,0.329425500007346
fixation,99,1.1
杀死1士兵,99,1
fixation,99,0.9
11,99,1
fixation,99,1.4
11,0,0.297557099955156
fixation,99,1.2
杀死4士兵,99,1
fixation,99,0.9
20,99,1
fixation,99,0.8
20,1,0.277660300023854
fixation,99,1.1
杀死3士兵,99,1
fixation,99,1.3
17,99,1
fixation,99,1.3
17,1,0.291333799948916
fixation,99,1.3
杀死5士兵,99,1
fixation,99,0.9
13,99,1
fixation,99,1.1
13,0,0.60761719988659
fixation,99,1.4
杀死3士兵,99,1
fixation,99,0.8
19,99,1
fixation,99,1.3
19,1,0.431684599956498
fixation,99,1.4
杀死10士兵,99,1
fixation,99,0.9
29,99,1
fixation,99,0.8
29,0,0.966311499942094
fixation,99,1.1
杀死9士兵,99,1
fixation,99,1.3
46,99,1
fixation,99,1.1
46,1,0.288128200219944
fixation,99,1
杀死3士兵,99,1
fixation,99,1.1
7,99,1
fixation,99,0.8
7,0,0.476274600019678
fixation,99,0.8
杀死3士兵,99,1
fixation,99,1.4
22,99,1
fixation,99,1.2
22,1,0.285624400014058
fixation,99,0.9
杀死2士兵,99,1
fixation,99,1.4
6,99,1
fixation,99,0.8
6,0,0.370865500066429
fixation,99,1.1
杀死8士兵,99,1
fixation,99,1.3
26,99,1
fixation,99,1
26,0,0.608194899978116
fixation,99,1
杀死5士兵,99,1
fixation,99,1.1
10,99,1
fixation,99,1.4
10,0,0.792096799938008
fixation,99,1.3
杀死1士兵,99,1
fixation,99,0.8
1,99,1
fixation,99,0.9
1,0,0.684966899920255
fixation,99,1
杀死2士兵,99,1
fixation,99,1.4
3,99,1
fixation,99,1
3,0,0.317687999922782
fixation,99,0.9
杀死10士兵,99,1
fixation,99,1.2
43,99,1
fixation,99,1.1
43,1,0.285443800035864
fixation,99,1.4
杀死7士兵,99,1
fixation,99,1.4
33,99,1
fixation,99,1.3
33,0,0.570677599869668
fixation,99,1.2
杀死1士兵,99,1
fixation,99,1.3
15,99,1
fixation,99,1.4
15,0,0.53193960012868
fixation,99,0.8
杀死2士兵,99,1
fixation,99,1
21,99,1
fixation,99,0.8
21,1,0.322743099881336
fixation,99,1.3
杀死3士兵,99,1
fixation,99,1.1
2,99,1
fixation,99,1
2,0,0.34643580019474
fixation,99,0.9
杀死9士兵,99,1
fixation,99,1.1
25,99,1
fixation,99,1
25,0,1.30463060014881
fixation,99,0.8
杀死5士兵,99,1
fixation,99,0.8
14,99,1
fixation,99,0.8
14,0,0.296744999941438
fixation,99,1
杀死6士兵,99,1
fixation,99,0.8
27,99,1
fixation,99,1.1
27,0,0.381044599926099
fixation,99,1.4
杀死8士兵,99,1
fixation,99,1
35,99,1
fixation,99,0.8
35,0,0.537979200016707
fixation,99,1.1
杀死10士兵,99,1
fixation,99,1.4
37,99,1
fixation,99,1
37,0,0.916675899876282
fixation,99,0.8
杀死3士兵,99,1
fixation,99,0.8
24,99,1
fixation,99,0.8
24,1,0.700216199969873
fixation,99,1.3
杀死6士兵,99,1
fixation,99,1.1
42,99,1
fixation,99,1.2
42,1,0.308876999886706
fixation,99,1.2
杀死8士兵,99,1
fixation,99,1.1
45,99,1
fixation,99,1.2
45,1,0.0651010998990387
fixation,99,1.4
杀死9士兵,99,1
fixation,99,1.2
47,99,1
fixation,99,1.4
47,1,1.22783600003459
fixation,99,1.1
杀死1士兵,99,1
fixation,99,0.8
18,99,1
fixation,99,0.8
18,1,0.307122200028971
fixation,99,1.2
杀死3士兵,99,1
fixation,99,1
16,99,1
fixation,99,1.2
16,0,0.322575099999085
fixation,99,1.2
杀死8士兵,99,1
fixation,99,1.1
32,99,1
fixation,99,1.3
32,0,0.217980799963698
fixation,99,1.1
杀死1士兵,99,1
fixation,99,1.1
4,99,1
fixation,99,1.1
4,0,0.465088399825618
fixation,99,1.4
杀死8士兵,99,1
fixation,99,1
44,99,1
fixation,99,0.8
44,1,0.299079800024629
fixation,99,0.9
杀死10士兵,99,1
fixation,99,1.2
40,99,1
fixation,99,1.3
40,0,0.29148850007914
fixation,99,1.4
杀死6士兵,99,1
fixation,99,0.9
39,99,1
fixation,99,1.3
39,0,0.380956900073215
fixation,99,1.2
杀死6士兵,99,1
fixation,99,1
31,99,1
fixation,99,1.1
31,0,0.317845599958673
fixation,99,1.1
杀死7士兵,99,1
fixation,99,1.2
28,99,1
fixation,99,1.3
28,0,0.493420199956745
fixation,99,1
杀死5士兵,99,1
fixation,99,0.8
12,99,1
fixation,99,1.3
12,0,0.569789900211617
fixation,99,1
杀死10士兵,99,1
